No.,Part,Qty,Required Hardware,Use,Cost in Rupees,Cost in Dollars,Buying Site
1,"Speedy Bee FS225 Drone 5"" Frame",1,Screws given in the box,Frame,"₹3,700.00",$43.13,https://www.alibaba.com/product-detail/SpeedyBee-FS225-V2-5inch-225mm-5_1600961304776.html?spm=a2700.shop_plgr.41413.32.6e627121897O6f
2,IFlight XING2 2207 1750KV,4,Screws given in the box,Motor,"₹7,688.00",$89.61,https://www.alibaba.com/product-detail/IFlight-XING2-2207-1750KV-2750KV-4S_1601255146262.html?spm=a2700.shop_plser.41413.2.82b17d90kpjDJF
3,Speedy bee F405 V4 Flight contoller and esc,1,None,Controlling,"₹5,315.00",$61.95,https://www.alibaba.com/product-detail/SpeedyBee-F405-V4-BLS-60A-30x30_1601182074080.html?spm=a2700.shop_plser.41413.35.30cb7d9dmkGX9V
4,Radiomaster Pocket Edition Transmitter,1,A strap for hanging on neck,Transmitter for controlling,"₹4,300.00",$50.12,https://www.alibaba.com/product-detail/Radiomaster-Pocket-2-4GHz-CC2500-ELRS_1601450495181.html?spm=a2700.shop_plser.41413.5.61c7479e78egXE
5,Gemfan Hurricane MCK 51466,4,8MM wrench,Propeller,₹796.00,$9.28,https://www.drkstore.in/gemfan-hurricane-51466-v2-3-blade-propeller-mck-edition-set-of-4/?srsltid=AfmBOopSkd02gKvwqd9ooADqmN_hsihk2ViEzmvO6f4XAmMQm-T3ZoXt
6,Buzzer for locating/low battery,1,3D printed mount,Anti theft,"₹1,069.00",$12.46,https://www.drkstore.in/vifly-finder-2-drone-buzzer/?srsltid=AfmBOoraZHAdNZSXCcALKwysRMwuXYVGCPSJEJErIedJFuIzdKiNY5P8
7,HappyModel EP1 RX,1,Bolts,Reciever,"₹1,014.00",$11.82,https://www.alibaba.com/product-detail/Happymodel-ES900TX-ES900RX-915Mhz-868MHz-ExpressLRS_1600986710757.html?spm=a2700.shop_plser.41413.2.44531727jKUzKe
8,Caddx Nebula Pro with Vista kit!,1,None,Camera and camera feed transmitter,"₹4,809.00",$56.05,https://www.alibaba.com/product-detail/CADDX-Nebula-PRO-HD-Digital-Video_1601190818667.html?spm=a2700.shop_plser.41413.5.61544803tUapMg
9,Foxxer M1OQ GPS Module,1,None,Finding my drone after crashing and to prevent kids from stealing lol,"₹1,293.00",$15.07,https://www.alibaba.com/product-detail/Foxeer-M10Q-FPV-Racing-Drone-Long_1601017096154.html?spm=a2700.shop_plser.41413.5.2975173ckhUeWT
10,ToolkitRC M6D 500W Smarat lipo charger,1,None,Chargin Battery,"₹4,371.00",$50.95,https://www.alibaba.com/product-detail/PFLY-ToolkitRC-M6D-500W-15A-DC_1601138263521.html?spm=a2700.shop_plgr.41413.2.38c67121WVx8kq
11,CHNL 6S 1500mah Lipos,2,Battery charger,Powering the drone,"₹1,500.00",$17.48,https://www.alibaba.com/product-detail/CNHL-Black-Series-1500mAh-Lithium-Polymer_1601196575742.html?spm=a2700.shop_plgr.41413.29.654271219NFZ1H
12,,,,,,,
13,Total,18,,,"₹35,855.00",$417.93,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
