No.,Part,Qty,Required Hardware,Use,Cost in Rupees,Cost in Dollars,Buying Site,
1,Speedy Bee mario 5,1,Screws given in the box,Frame,"₹3,900.00",$44.53,https://robu.in/product/speedybee-mario-5-xh-advanced-version-frame/,
2,IFlight XING2 2207 1750KV,4,Screws given in the box,Motor,"₹7,688.00",$87.78,https://www.alibaba.com/product-detail/IFlight-XING2-2207-1750KV-2750KV-4S_1601255146262.html?spm=a2700.shop_plser.41413.2.82b17d90kpjDJF,
3,Speedy bee F405 V4 Flight contoller and esc,1,None,Controlling,"₹5,315.00",$60.69,https://www.alibaba.com/product-detail/SpeedyBee-F405-V4-BLS-60A-30x30_1601182074080.html?spm=a2700.shop_plser.41413.35.30cb7d9dmkGX9V,
4,Radiomaster Pocket Edition Transmitter,1,A strap for hanging on neck,Transmitter for controlling,"₹4,300.00",$49.10,https://www.alibaba.com/product-detail/Radiomaster-Pocket-2-4GHz-CC2500-ELRS_1601450495181.html?spm=a2700.shop_plser.41413.5.61c7479e78egXE,
5,Gemfan Hurricane MCK 51466,4,8MM wrench,Propeller,₹796.00,$9.09,https://www.drkstore.in/gemfan-hurricane-51466-v2-3-blade-propeller-mck-edition-set-of-4/?srsltid=AfmBOopSkd02gKvwqd9ooADqmN_hsihk2ViEzmvO6f4XAmMQm-T3ZoXt,
6,HappyModel EP1 RX,1,Bolts,Reciever,"₹1,014.00",$11.58,https://www.alibaba.com/product-detail/Happymodel-ES900TX-ES900RX-915Mhz-868MHz-ExpressLRS_1600986710757.html?spm=a2700.shop_plser.41413.2.44531727jKUzKe,
7,walksnail avatar vrx with 1s lite kit,1,,,"₹24,000.00",$285.00,,
9,ToolkitRC M7 200W 10A DC Balance Charger,1,None,Chargin Battery,"₹4,371.00",$44.00,https://www.alibaba.com/product-detail/ToolkitRC-M7-200W-10A-DC-Balance_1601021991682.html?spm=a2700.shop_plgr.41413.8.1a367121wkyZKi,https://robu.in/product/mean-well-lrs-150-24-24v-6-5a-156w-smps/
10,CHNL 6S 1500mah Lipos,1,Battery charger,Powering the drone,"₹3,000.00",$34.26,,
11,Short HDMI Cable,1,,FPV feed,₹363.00,$4.14,https://www.amazon.in/fdealz%C2%AE-Piece-HDMI-Short-Cable/dp/B0C17LVW7N/ref=sr_1_1_sspa?crid=36P344KHOTFTT&dib=eyJ2IjoiMSJ9.coDFKEqagF_-J4GwWiwSNbMeu0Wkq7cmSYPmF0bs5lqp6G63_u_WKNqysOnCMFFRRgKuvsLPsjwyDZuFZhJzNIwIYiKK3AXzj98qluEoyL671BKMaTHv1fEdOm80GorekQ1M6PHqhn752kH_D4OcI81xWfwySekzWzcGgb7JgTThki0mJbXbw0_Akby8L7P8mqUJg7dkMJWNndg4bcbWKxr1LLzonec0EIPsgHuqrRQG_tTFhymqALGS7NJvd4-uzapUDjZ1gcnYqioOMK65ZAUaBDGv0tKDNTqiBDe_A_o.yvPYBqBiGLKL2redqL84ZvSKw4bGGzxl797kOkL_MMs&dib_tag=se&keywords=short%2Bhdmi%2Bcable&qid=1749568857&s=electronics&sprefix=short%2Bhdmi%2Bcabl%2Celectronics%2C216&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
12,XT 60 Cable,1,soldering thingy,powering fpv goggle,₹499.00,$5.70,https://www.drkstore.in/sequre-xt60-connector-to-dc5525-extension-cable/?utm_source=chatgpt.com,
13,Battery for fpv goggle,1,soldering thingy,powering fpv goggle,"₹1,640.00",$18.73,https://robu.in/product/orange-2200mah-3s-30c60c-lithium-polymer-battery-pack-lipo/,
14,XT 60 parallel connector,1,,powering fpv goggle,₹159.00,$1.82,https://thinkrobotics.com/products/xt60-m-to-f-extension-cable-online?variant=49851839807805,
15,Xt 60 male to female,1,,powering fpv goggle,₹179.00,$2.04,https://robu.in/product/safeconnect-xt60-w-jst-parallel-battery-connector-plug-extension-cable-for-dji-phantom-quadcopter-aerial-gimbal/,
16,waveshare display,,,,"₹4,209.00",$48.06,https://robu.in/product/waveshare-5-inch-capacitive-hdmi-lcd-displayh/,
17,drone sim,,,,650,,https://store.steampowered.com/app/1682970/Uncrashed__FPV_Drone_Simulator/,
,Total,16,,,"₹62,083.00",$708.89,,
19,,,,,,,,
20,https://sseaindia.com/product/pullox-8-3-x-11-75-large-3x-fresnel-lens-full-page-magnifier/?srsltid=AfmBOop-oZEHVCVluIJ2foJRXdYK0binZyKj6gUHSSrcwHn50W8UuLRJ,,,,,,,
21,maybe,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
